length,build_year,top_speed,beam,gt,guests,crew,max_draught,displacement_tonnage,fuel_capacity,water_capacity,total_power,passenger_rooms,master_rooms,double_rooms,twin_rooms,number_of_decks,range,vip_rooms,refits_num,charter,series_model_class,naval_architect,exterior_designer,interior_designer,hull_number,yacht_subtype,refits_bin,broker.northropandjohnson,broker.worthavenueyachts,broker.denisonyachtsales,broker.fraseryachts,broker.camperandnicholsons,broker.edmiston,broker.burgessyachts,broker.oceanindependence,broker.iyc,broker.other_broker,yacht_type.Motor Yacht,builder.low_cost,builder.upper_standard,builder.standard,builder.supreme,hull_type.unknown,hull_type.Deep V / Planing,hull_type.Full Displacement,hull_type.Semi Displacement,hull_type.other_hull_type,hull_type.Monohull,classification.unknown,classification.BV,classification.LR,classification.other_classification,classification.RINA,classification.ABS,engine_make.MTU,engine_make.Caterpillar,engine_make.unknown,engine_make.MAN,engine_make.other_engine_make,hull.Steel,hull.Aluminium,hull.other_hull,superstructure.unknown,superstructure.GRP,superstructure.Aluminium,superstructure.other_superstructure,deck.Teak,deck.other_deck,price
0.20705336426914153,0.953125,0.3904761904761905,0.27362637362637365,0.01867102060471083,0.42857142857142855,0.04201680672268908,0.3375796178343949,0.053763440860215055,0.07099612178010961,0.04356534802203305,0.12760416666666666,0.5,0,0.14285714285714285,0.14285714285714285,0,0.21434085256025387,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,8400000
0.33642691415313225,0.8671875,0.2761904761904762,0.3532967032967033,0.07039911516742973,0.5714285714285714,0.058823529411764705,0.4044585987261146,0.07677796642142992,0.05547656714126466,0.05157736604907361,0.11631944444444445,0.625,0,0,0,0.25,0.21434085256025387,0.5,0.1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,8950000
0.33178654292343385,0.8828125,0.299047619047619,0.7802197802197802,0.0431243016707234,0.35714285714285715,0.03361344537815126,0.23566878980891723,0.053763440860215055,0.09886456935739031,0.02553830746119179,0.12760416666666666,0.5,0,0.14285714285714285,0.14285714285714285,0,0.857620722188867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,9166743.056192135
0.24361948955916474,0.953125,0.14285714285714285,0.3230769230769231,0.04914357085620342,0.42857142857142855,0.04201680672268908,0.4203821656050956,0.06470477268439917,0.06548918303729366,0.02954431647471207,0.11458333333333333,0.5,0,0.14285714285714285,0.14285714285714285,0.25,0.15858993052577408,0,0.2,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,12000000
0.24993039443155451,0.8046875,0.08571428571428572,0.3362637362637363,0.050836490314619676,0.2857142857142857,0.03361344537815126,0.5541401273885351,0.0937558951141294,0.19638744818471274,0.07361041562343515,0.034895833333333334,0.375,0,0.14285714285714285,0.14285714285714285,0.25,0.4716528004116991,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,6900000
0.17865429234338748,0.8515625,0.12000000000000001,0.28571428571428575,0.03729313464728963,0.42857142857142855,0.025210084033613446,0.7611464968152867,0.029617053386153554,0.01876364218915834,0.0385578367551327,0.027777777777777776,0.5,0,0.14285714285714285,0,0.25,0.21434085256025387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,950000
0.1703016241299304,0.875,0.0761904761904762,0.21703296703296704,0.010409573647639505,0.14285714285714285,0.01680672268907563,0.42515923566878994,0.053763440860215055,0.0030772106187129116,0.008512769153730596,8.680555555555555e-4,0.25,0,0,0,0.25,0.07067501500986363,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2900000
0.1754988399071926,0.578125,0.09523809523809523,0.21978021978021978,0.022621166007682093,0.14285714285714285,0.01680672268907563,0.5541401273885351,0.04093567251461988,0.07216426030131298,0.015523284927391086,0.12760416666666666,0.25,0,0.14285714285714285,0.14285714285714285,0,0.17145552791834634,0,0.1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,4300000
0.2937354988399072,0.7265625,0.2,0.35000000000000003,0.045193425453232156,0.2857142857142857,0.03361344537815126,0.4044585987261146,0.05791360120731937,0.08502713418907824,0.0629344016024036,0.08680555555555555,0.375,0,0.14285714285714285,0.14285714285714285,0.25,0.21434085256025387,0,0.1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3662113.850948758
0.25419953596287703,0.859375,0.3333333333333333,0.2994505494505495,0.03898605410570589,0.2857142857142857,0.03361344537815126,0.23566878980891723,0.03603093755895114,0.06822262717690958,0.03685528292438658,0.16666666666666666,0.375,0,0,0,0,0.21434085256025387,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4949124.576038133
