;LENGTH;BUILD YEAR;TOP SPEED;BEAM;GT;GUESTS;CREW;BROKER;CHARTER;Name:;Yacht Type:;Series, Model, Class:;Builder:;Naval Architect:;Exterior Designer:;Interior Designer:;Length Overall:;Length at Waterline:;Beam:;Max Draught:;Gross Tonnage:;Displacement Tonnage:;Year of Build:;Hull Number:;Hull Type:;Classification:;Max Speed:;Cruising Speed:;Fuel Capacity:;Water Capacity:;Engine Make:;Total power:;Hull:;Superstructure:;Deck:;Guests:;Passenger Rooms:;Master Rooms:;Double Rooms:;Twin Rooms:;Number of Decks:;Range:;;VIP Rooms:;Refits:;Single Rooms:;Triple Rooms:;Yacht Subtype:;Convertible:;Crew bunk beds:;Pullman Beds:;MCA Compliant:;Engine Model;Build time:
29;52.6 m;2026;16 kn;9.09 m;499;10;9;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/nl-50-plus-mengi-yay-2026;;NL 50 PLUS;Motor Yacht;;Mengi-Yay;;Nuvolari Lenard;Nuvolari Lenard;52.6 metres;;9.09 metres;2.6 metres;499;;2026;NB 114;Semi Displacement;;16 kn;12 kn;;;Caterpillar;2900hp;Steel;Aluminium;Teak;10;5;;;;;4000 nm;;;;;;;;;;;;
30;33.48 m;2003;35 kn;7.12 m;181;8;4;https://www.g-yachts.com/en/yachts-for-sale/splendida;;SPLENDIDA;Motor Yacht;Mangusta 108;Overmarine;Andrea Bacigalupo;;Stefano Righini;33.48 metres;28.57 metres;7.12 metres;1.8 metres;181;120;2003;108/09;Deep V / Planing;;35 kn;28 kn;14000 litres;2000 litres;MTU;5550hp;GRP;GRP;GRP,Teak;8;4;1;1;1;2;450 nm;@ 28 kn;1;2021-01-01;;;;;;;;;
31;25.49 m;2024;60 kn;6.25 m;48;6;2;https://www.northropandjohnson.com/yachts-for-sale/80-veloce-82-cantieri-di-pisa;;80 VELOCE;Motor Yacht;Veloce 80;Cantieri di Pisa;;;;25.49 metres;19.69 metres;6.25 metres;1.3 metres;48;50;2024;80/01;Deep V / Planing;;60 kn;50 kn;8000 litres;1600 litres;MAN;6000hp;Carbon Fibre;Carbon Fibre;Carbon Fibre,Teak;6;3;1;;1;2;300 nm;@ 50 kn;1;;;;;;;;;;
32;29.06 m;2023;28 kn;676 m;100;11;4;https://www.iyc.com/;;JICJ;Motor Yacht;SL96A;Sanlorenzo;;;;29.06 metres;;676 metres;1.92 metres;100;;2023;818;Deep V / Planing;;28 kn;24 kn;;;MTU;;GRP;GRP;Teak;11;5;;;;2;;;;;;;;;;;;;
33;30.8 m;2012;15 kn;7.57 m;114;7;4;https://www.iyc.com/;;SERAFIM;Motor Yacht;;Oyster;;;Oyster Design;30.8 metres;27.43 metres;7.57 metres;3.9 metres;114;95;2012;100-1;Monohull;LR;15 kn;10 kn;7700 litres;2660 litres;Cummins;;GRP;GRP;Teak;7;3;1;;2;;;;;2023-01-01;;;;;;;;;
34;32.31 m;2022;16 kn;7.01 m;192;10;6;https://www.iyc.com/;;DRINKABILITY;Motor Yacht;32L;Ocean Alexander;;;Evan K. Marshall;32.31 metres;26.97 metres;7.01 metres;1.85 metres;192;104.3;2022;32L03;Semi Displacement;;16 kn;13.5 kn;15142 litres;2461 litres;MAN;3800hp;GRP;GRP;GRP,Teak;10;5;;;;2;;;;;;;;;;;;;
35;36.63 m;1974;14 kn;7.59 m;227;10;6;https://www.iyc.com/;;AVANTE V;Motor Yacht;;Feadship;;;;36.63 metres;32 metres;7.59 metres;2.18 metres;227;;1974;606;Full Displacement;;14 kn;10 kn;28766 litres;7192 litres;Caterpillar;;Steel;Aluminium;Teak;10;5;;;;3;2450 nm;@ 10 kn;;2023-01-01;;;;;;;;;
36;37.8 m;1988;18 kn;6.71 m;211;10;6;https://www.iyc.com/;;OCEAN DRIVE;Motor Yacht;;Broward Marine;;;;37.8 metres;31.55 metres;6.71 metres;2.01 metres;211;;1988;505;Semi Displacement;;18 kn;13 kn;32551 litres;7570 litres;Caterpillar;2100hp;Aluminium;Aluminium;Teak;10;5;;;;3;;;;2022-01-01;;;;;;;;;
37;38.74 m;1965;13 kn;6 m;216;8;8;https://www.iyc.com/;;CHANTAL;Motor Yacht;;Globe;;;;38.74 metres;34.46 metres;6 metres;2.6 metres;216;;1965;;Full Displacement;LR;13 kn;10 kn;30283 litres;13249 litres;Caterpillar;1080hp;Steel;Aluminium;Teak;8;4;1;3;1;3;3000 nm;@ 10 kn;;2020-01-01;;;;;;;;;
38;39.62 m;1987;20 kn;7.59 m;236;12;7;https://www.iyc.com/;Price from $130,000 p/w •;LIONSHARE;Motor Yacht;;Heesen Yachts;;;Clifford Denn;39.62 metres;31.03 metres;7.59 metres;2.29 metres;236;154;1987;66 36;Semi Displacement;ABS;20 kn;12 kn;40300 litres;7510 litres;Deutz-MWM;2700hp;Aluminium;Aluminium;Teak;12;5;1;2;1;3;4250 nm;@ 10 kn;1;2022-01-01;;;;;;;;;
