;LENGTH;BUILD YEAR;TOP SPEED;BEAM;GT;GUESTS;CREW;BROKER;CHARTER;Name:;Yacht Type:;Series, Model, Class:;Builder:;Naval Architect:;Exterior Designer:;Interior Designer:;Length Overall:;Length at Waterline:;Beam:;Max Draught:;Gross Tonnage:;Displacement Tonnage:;Year of Build:;Hull Number:;Hull Type:;Classification:;Max Speed:;Cruising Speed:;Fuel Capacity:;Water Capacity:;Engine Make:;Total power:;Hull:;Superstructure:;Deck:;Guests:;Passenger Rooms:;Master Rooms:;Double Rooms:;Twin Rooms:;Number of Decks:;Range:;;VIP Rooms:;Refits:;Single Rooms:;Triple Rooms:;Yacht Subtype:;Convertible:;Crew bunk beds:;Pullman Beds:;MCA Compliant:;Engine Model;Build time:
424;40 m;2006;13.5 kn;8.5 m;185;9;6;https://www.fraseryachts.com/;;ARISTARCHOS;Sail Yacht;131;Nautor Swan;;;;40 metres;34.69 metres;8.5 metres;4.88 metres;185;235;2006;131-001;Monohull;BV;13.5 kn;12 kn;12000 litres;3800 litres;Caterpillar C12;;GRP;GRP;Teak;9;;;;;;2000 nm;@ 10 kn;;;;;;;;;;;
425;28.68 m;1979;12.5 kn;6.55 m;73;6;3;https://www.northropandjohnson.com/yachts-for-sale/thea-94-kong-halvorsen;;THEA;Motor Yacht;;Kong & Halvorsen;;;;28.68 metres;22.49 metres;6.55 metres;2 metres;73;183;1979;;Semi Displacement;;12.5 kn;11 kn;22142 litres;2081 litres;Caterpillar;950hp;Mahogany,Teak;Teak;Teak;6;;;;;3;;;;2004-01-01;;;Classic Yacht;;;;;;
426;34 m;1997;13.5 kn;7.6 m;248;8;6;https://www.northropandjohnson.com/yachts-for-sale/xanadu-111-moonen;Price from $70,000 p/w •;XANADU;Motor Yacht;112;Moonen Yachts;;Newcruise, Frank Neubelt;;34 metres;29.4 metres;7.6 metres;2.3 metres;248;210;1997;167;Full Displacement;ABS;13.5 kn;12 kn;33000 litres;6000 litres;Caterpillar;1270hp;Steel;Aluminium;Teak;8;4;1;3;;2;3000 nm;@ 10 kn;;;;;;;;;;;
427;29.58 m;2009;22 kn;7.05 m;;10;5;https://www.yacht-zoo.com/yachts/blue-sapphire-30m-elegean-yacht-for-sale;;BLUE SAPPHIRE;Motor Yacht;Giant 100;Elegan - Favorim;;Elegan Yatcilik;;29.58 metres;;7.05 metres;1.9 metres;;;2009;;Semi Displacement;;22 kn;18 kn;11000 litres;2000 litres;MTU;4000hp;GRP;GRP;Teak;10;5;1;1;1;2;;;2;;;;;;;;;;
428;43.35 m;2017;13 kn;10.1 m;350;30;10;https://www.worldtrg.com/;;SAFIRA;Motor Yacht;;Custom;;;;43.35 metres;39.72 metres;10.1 metres;2.66 metres;350;;2017;;;;13 kn;9 kn;40000 litres;20000 litres;Caterpillar;;;;;30;14;2;6;6;3;;;;;;;;;;;;;
429;37.22 m;2009;18 kn;7.6 m;308;10;7;https://www.worthavenueyachts.com/yachts-for-sale/away/;;AWAY;Motor Yacht;SD122;Sanlorenzo;;;;37.22 metres;;7.6 metres;2.5 metres;308;184;2009;111;Semi Displacement;RINA;18 kn;16 kn;35000 litres;6000 litres;Caterpillar;3350hp;GRP;GRP;Teak;10;5;1;2;2;3;3000 nm;@ 11 kn;1;;;;;;;;;;
430;33 m;2001;28.5 kn;7.29 m;213;10;6;https://www.fraseryachts.com/;;NAUTA;Motor Yacht;;Baglietto;Baglietto;Baglietto;Baglietto;33 metres;29.25 metres;7.29 metres;2.5 metres;213;122;2001;10177;Deep V / Planing;RINA;28.5 kn;20 kn;28000 litres;5400 litres;MTU;5550hp;Aluminium;Aluminium;Teak;10;5;;;;2;800 nm;@ 20 kn;;;;;;;;;;;
431;33.28 m;2007;34 kn;7.12 m;181;8;5;https://www.twwyachts.com/yachts-for-sale/technomarine-340117/;;TECHNOMARINE;Motor Yacht;Mangusta 108;Overmarine;;Stefano Righini;;33.28 metres;28.57 metres;7.12 metres;1.3 metres;181;105;2007;108/23;Deep V / Planing;BV;34 kn;30 kn;14700 litres;2000 litres;MTU;5550hp;GRP;GRP;GRP,Teak;8;4;1;1;1;2;350 nm;@ 32 kn;1;;;;;;;;;;
432;32.2 m;2011;12.8 kn;7.95 m;272;8;6;https://www.yacht-zoo.com/yachts/richesse-horizon-32.2m-yacht-for-sale;;RICHESSE;Motor Yacht;Calixas 105;Horizon;;Gregory C. Marshall;Gregory C. Marshall;32.2 metres;;7.95 metres;2.31 metres;272;204;2011;105-502;Full Displacement;DNV;12.8 kn;10.5 kn;24900 litres;5050 litres;Caterpillar;950hp;GRP;GRP;Teak;8;;;;;3;3000 nm;;;;;;;;;;;;
433;35.5 m;2006;27 kn;6.8 m;188;5;7;https://www.atalantamarine.com/;;CELIA;Motor Yacht;115;Falcon Yachts;;;;35.5 metres;;6.8 metres;2.2 metres;188;120;2006;218;Deep V / Planing;RINA;27 kn;23 kn;19000 litres;4100 litres;MTU;4570hp;GRP;GRP;Teak;5;12;1;2;2;2;500 nm;@ 23 kn;;2019-01-01, 2022-01-01;;;;;;;;;
434;35.5 m;2006;27 kn;6.8 m;188;5;7;https://www.flacktonyachting.com/en/yacht/115/falcon-115-2006-5cab-12-guests;;CELIA;Motor Yacht;115;Falcon Yachts;;;;35.5 metres;;6.8 metres;2.2 metres;188;120;2006;218;Deep V / Planing;RINA;27 kn;23 kn;19000 litres;4100 litres;MTU;4570hp;GRP;GRP;Teak;5;12;1;2;2;2;500 nm;@ 23 kn;;2019-01-01, 2022-01-01;;;;;;;;;
435;21.4 m;2015;;5 m;46;6;2;https://www.merlewood.com/luxury-yacht-for-sale-145970/star-yacht;;STAR;Motor Yacht;;Pershing;Fulvio De Simoni;Fulvio De Simoni;Pershing;21.4 metres;17.14 metres;5 metres;1.35 metres;46;;2015;;;;;;3698 litres;900 litres;MTU;3250hp;;;;6;3;;;;;300 nm;;;;;;;;;;;;
436;49.4 m;1998;16.5 kn;9.45 m;612;14;11;https://www.merlewood.com/luxury-yacht-for-sale-35148/te-manu-yacht;Price from €185,000 p/w •;TE MANU;Motor Yacht;50;Codecasa;Codecasa;;Franco & Anna Della Role, Betsy Godfrey;49.4 metres;42 metres;9.45 metres;3.2 metres;612;450;1998;F.61;Full Displacement;Lloyds;16.5 kn;15 kn;120000 litres;20000 litres;Caterpillar;4400hp;Steel;Aluminium;Teak;14;6;1;3;2;3;6000 nm;@ 12 kn;1;2018-01-01;;;;;;;;;
437;48 m;2010;16 kn;8.8 m;492;11;10;https://www.merlewood.com/luxury-yacht-for-sale-35646/big-sky-yacht;Price from $180,000 p/w •;BIG SKY;Motor Yacht;;Oceanfast;Oceanfast;Oceanfast;Alder & Tweed Design Co.;48 metres;;8.8 metres;2.5 metres;492;;2010;169;Full Displacement;Lloyd’s;16 kn;14 kn;66000 litres;13000 litres;MTU;2660hp;Aluminium;Aluminium;Teak;11;5;1;3;1;3;4000 nm;@ 12 kn;;2023-01-01;;;Displacement;;;;MCA Compliant:;;
438;52 m;2004;15 kn;9 m;628;12;14;https://www.merlewood.com/luxury-yacht-for-sale-64244/nita-k-ii-2-yacht;;NITA K II;Motor Yacht;;Amels;Amels;Terence Disdale;Alberto Pinto, Laura Sessa Design;52 metres;46.5 metres;9 metres;3.05 metres;628;667;2004;443;Full Displacement;Lloyd’s, MCA Compliant;15 kn;12.5 kn;118000 litres;17997 litres;Cummins;2400hp;Steel;Aluminium;Teak;12;5;1;2;2;3;5000 nm;@ 11 kn;;2021-01-01;;;;;;;;;
439;53.03 m;2004;28 kn;8.84 m;498;10;10;https://www.merlewood.com/luxury-yacht-for-sale-52649/mizu-yacht;;MIZU;Motor Yacht;;Oceanfast;Austal Ships;Sam Sorgiovanni;Sam Sorgiovanni;53.03 metres;47.23 metres;8.84 metres;2.5 metres;498;268;2004;78;Semi Displacement;Germanischer Lloyds Spec. MCA Compliant;28 kn;20 kn;83270 litres;14409 litres;MTU;7500hp;Aluminium;Aluminium;Teak;10;5;1;2;2;3;3025 nm;@ 11 kn;;2016-01-01;;;;;;;;;
440;72 m;2003;16.2 kn;13.8 m;1724;30;31;https://www.merlewood.com/luxury-yacht-for-sale-65179/serenity-yacht;;SERENITY;Motor Yacht;;Austal Ships;Austal Ships;Luiz De Basto;Ask Deco;72 metres;59.4 metres;13.8 metres;2.4 metres;1724;708;2003;;Full Displacement;Bureau Veritas, SOLAS Compliant;16.2 kn;13 kn;40000 litres;27000 litres;MTU;2144hp;Aluminium;Aluminium;Teak;30;15;;;;5;2000 nm;@ 12 kn;;2017-04-01;;;;;;;;;
441;86 m;1998;14 kn;12.5 m;2083;42;30;https://www.merlewood.com/luxury-yacht-for-sale-60319/chakra-yacht;;CHAKRA;Motor Yacht;;Devonport;Devonport;Van Der Werf;Van Der Werf;86 metres;63.4 metres;12.5 metres;4.85 metres;2083;1985;1998;296;Full Displacement;INSB;14 kn;12.8 kn;136000 litres;228700 litres;MAN;;Steel;Steel;Hardwood;42;21;;;;5;5000 nm;@ 10 kn;;2017-01-01;;;Classic Yacht;;;;;;
442;38.1 m;1989;17 kn;7.32 m;293;8;6;https://www.merlewood.com/luxury-yacht-for-sale-102738/quantum-yacht;;QUANTUM;Motor Yacht;;Broward Marine;Broward Marine;Broward Marine;;38.1 metres;33.83 metres;7.32 metres;6.5 metres;293;282;1989;500;Semi Displacement;ABS;17 kn;15 kn;33092 litres;3781 litres;Inboard Detroit Diesel;2800hp;Aluminium;Aluminium;Aluminium;8;4;1;2;1;3;1300 nm;@ 17 kn;;2015-01-01, 2022-01-01;;;;;;;;;
443;49.8 m;2020;16.3 kn;9.1 m;499;12;9;http://behnemar.com/;;AMARE II;Motor Yacht;50M Alu;Heesen Yachts;;;;49.8 metres;;9.1 metres;2.15 metres;499;315;2020;19150;Fast Displacement;ABS;16.3 kn;12 kn;45000 litres;16000 litres;;;Aluminium;Aluminium;Teak;12;6;1;2;2;3;3750 nm;@ 12 kn;;2021-01-22;;;;;;;;;
444;23.95 m;2019;33 kn;5.95 m;;8;1;https://eastwindyachts.com/yachts/yacht/sale/alilea;;ALILEA;Motor Yacht;;Van Der Heijden;;;;23.95 metres;;5.95 metres;1.1 metres;;;2019;;;;33 kn;;;;;;;;;8;4;;;;;;;;;;;;;;;;;
445;35.97 m;1985;19 kn;7.32 m;193;8;5;https://www.worthavenueyachts.com/yachts-for-sale/inevitable/;;INEVITABLE;Motor Yacht;;Burger Boat;;;Patrick Knowles;35.97 metres;31.12 metres;7.32 metres;1.98 metres;193;;1985;453C;Semi Displacement;;19 kn;14 kn;34069 litres;9464 litres;Caterpillar;3200hp;Aluminium;Aluminium;Teak;8;3;1;;2;2;1500 nm;@ 14 kn;;2022-01-01;;;;;;;;;
446;41.7 m;1981;12 kn;8 m;387;12;9;https://www.fraseryachts.com/;;KING K;Motor Yacht;;Feadship;Studio De Voogt;;;41.7 metres;37.46 metres;8 metres;2.56 metres;387;;1981;740;Full Displacement;;12 kn;10 kn;55400 litres;18000 litres;G.M.;1350hp;Steel;Aluminium;Teak;12;6;1;;4;3;4500 nm;@ 12 kn;1;2003-01-01, 2007-01-01, 2018-01-01, 2019-01-01;;;;;;;;;
447;26.78 m;2018;28 kn;6.59 m;140;10;3;https://www.fraseryachts.com/;;AZIMUT GRANDE 27 #23;Motor Yacht;Grande 27M;Azimut;;Stefano Righini;;26.78 metres;;6.59 metres;1.9 metres;140;93;2018;27023;Deep V / Planing;RINA;28 kn;24 kn;9500 litres;2000 litres;MAN;3800hp;GRP;Carbon Fibre,GRP;Teak;10;5;1;;2;3;360 nm;@ 24 kn;2;;;;;;;;;;
448;41 m;2002;14 kn;8.7 m;209;7;6;https://www.northropandjohnson.com/yachts-for-sale/destination-134-alloy-yachts;;DESTINATION;Sail Yacht;;Alloy Yachts;;;;41 metres;33.95 metres;8.7 metres;4.45 metres;209;226;2002;AY 25;Monohull;ABS;14 kn;12 kn;23400 litres;11400 litres;Caterpillar;800hp;Aluminium;Aluminium;Teak;7;4;1;2;1;;2800 nm;@ 10 kn;;2008-01-01;;;;;;;;;
449;36.45 m;1991;13 kn;8 m;297;8;6;https://www.edmiston.com/yacht-brokerage/yachts/lady-victoria;Price from $72,000 p/w •;LADY VICTORIA;Motor Yacht;;Feadship;;Studio De Voogt;;36.45 metres;31.4 metres;8 metres;2.1 metres;297;270;1991;767;Full Displacement;LR;13 kn;11 kn;43680 litres;5220 litres;MAN;1476hp;Steel;Aluminium;Teak;8;4;1;;1;3;5000 nm;@ 10.5 kn;1;2016-01-01, 2019-01-01, 2021-01-01;;;;;;;;D2848 LE 422;
450;33.23 m;2013;42 kn;6.7 m;178;8;3;http://www.burgessyachts.com/;Price from €81,000 p/w •;LEVANTINE II;Motor Yacht;108;Pershing;;;;33.23 metres;25.84 metres;6.7 metres;1.83 metres;178;;2013;108/02;Deep V / Planing;RINA;42 kn;37 kn;12000 litres;2000 litres;MTU;5276hp;GRP;GRP;Teak;8;4;1;2;1;2;330 nm;@ 37 kn;;;;;;;;;;;
451;38.1 m;2021;13 kn;8.84 m;432;12;7;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/emocean-rosetti-superyachts-2021;Price from $160,000 p/w •;EMOCEAN;Motor Yacht;RSY 38XP;Rosetti Superyachts;;;;38.1 metres;36.73 metres;8.84 metres;2.51 metres;432;410;2021;C123;Full Displacement;RINA;13 kn;11 kn;53699.86 litres;21092.32 litres;MAN;1600hp;Steel;Aluminium;Teak;12;5;1;2;2;3;5 nm;@ 10 kn;;;;;;;;;;;
452;43.85 m;1981;15 kn;7.72 m;369;11;9;https://www.edmiston.com/yacht-brokerage/yachts/dojo;;DOJO;Motor Yacht;;Feadship;Frits De Voogt;Jon Bannenberg Ltd.;Jon Bannenberg Ltd., Howard & Horsfield;43.85 metres;39.28 metres;7.72 metres;2.5 metres;369;261;1981;623;Full Displacement;LR;15 kn;12 kn;45000 litres;13000 litres;Caterpillar;2506hp;Steel;Aluminium;Teak;11;5;1;1;1;3;3000 nm;@ 12 kn;1;2016-01-01;;;Displacement;;;;;;
453;34.16 m;2023;22 kn;8 m;245;10;5;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/project-violin-sanlorenzo-2023;;PROJECT VIOLIN;Motor Yacht;SX112;Sanlorenzo;;Zuccon International Project;Sanlorenzo;34.16 metres;31.1 metres;8 metres;1.93 metres;245;138;2023;111;Semi Displacement;;22 kn;10 kn;18800 litres;2200 litres;Volvo;;GRP;GRP;Teak;10;5;1;2;2;3;1600 nm;@ 10 kn;;;;;;;;;;;
454;22 m;2024;21 kn;11 m;120;10;;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/serenity-72-power-catamaran-serenity-yachts-2024;;SERENITY 72 POWER;Motor Yacht;;Serenity Yachts;;Darnet Design;Darnet Design;22 metres;;11 metres;1.2 metres;120;;2024;;;;21 kn;17 kn;;;John Deere;;;;;10;5;;;;;3000 nm;;;;;;;;;;;;
455;29.76 m;1970;27 kn;7.5 m;;10;5;https://www.yacht-zoo.com/yachts/m-y-r-paolucci-yacht-for-sale/;Price from €35,000 p/w •;R. PAOLUCCI;Motor Yacht;90;Picchiotti;;;;29.76 metres;;7.5 metres;3.21 metres;;152;1970;;Deep V / Planing;;27 kn;14 kn;7500 litres;8000 litres;MAN;3600hp;Mahogany;Mahogany,Teak;Teak;10;5;1;3;1;2;;;;2009-01-01,2018-01-01,2019-10-20,2020-10-01,2020-09-16;;;Classic Yacht;;;;;;
456;26.52 m;2007;20 kn;7.16 m;162;8;4;https://www.worthavenueyachts.com/yachts-for-sale/maranatha-9/;;MARANATHA;Motor Yacht;87;Johnson Yachts;;;;26.52 metres;;7.16 metres;1.83 metres;162;80;2007;87042;Semi Displacement;;20 kn;18 kn;12870 litres;2044 litres;Caterpillar;3324hp;GRP;GRP;Teak;8;4;1;2;1;3;700 nm;@ 10 kn;1;;;;;;;;;;
457;28.65 m;2009;20 kn;6.59 m;178;8;3;https://www.worthavenueyachts.com/yachts-for-sale/rhapsody/;;RHAPSODY;Motor Yacht;Paragon 94;Paragon Motor Yachts;Scott Robinson;Scott Robinson;;28.65 metres;;6.59 metres;1.81 metres;178;100;2009;94-06;Semi Displacement;;20 kn;15 kn;2839 litres;1893 litres;Caterpillar;3100hp;GRP;GRP;Teak;8;3;1;2;;2;;;;;;;;;;;;;
458;34.13 m;2007;42 kn;7.35 m;184;8;5;https://www.iyc.com/;;KIDI ONE;Motor Yacht;34 Sport;Leopard Yachts;;;;34.13 metres;28.1 metres;7.35 metres;1.22 metres;184;105;2007;34/12;Deep V / Planing;BV;42 kn;37 kn;15500 litres;2000 litres;MTU;7200hp;GRP;GRP;Teak;8;4;1;1;1;2;450 nm;@ 33 kn;1;;;;;;;;;;
459;41.15 m;2010;15 kn;8.53 m;398;10;7;https://www.fraseryachts.com/;Price from $160,000 p/w •;KOMOKWA;Motor Yacht;Premier 135;Horizon;Gregory C. Marshall;Espinosa Yacht Design;Espinosa Yacht Design;41.15 metres;35.51 metres;8.53 metres;2.31 metres;398;235;2010;130-015;Semi Displacement;NV;15 kn;10.5 kn;43153.7 litres;7570.83 litres;MTU;3100hp;Composite;GRP;Teak;10;5;1;3;1;3;3 nm;@ 10 kn;;;;;;;;;;;
460;49.9 m;2011;40 kn;9.2 m;488;13;9;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/moka-overmarine-mangusta-2011;;MOKA;Motor Yacht;Mangusta 165;Overmarine;;;;49.9 metres;40.5 metres;9.2 metres;1.9 metres;488;310;2011;165/06;Deep V / Planing;ABS;40 kn;33 kn;41000 litres;5300 litres;MTU;13668hp;GRP;GRP;GRP,Teak;13;5;1;1;2;2;900 nm;@ 20 kn;1;2022-01-13;;;;;;;;;
461;57.2 m;1978;17 kn;9.6 m;683;16;18;https://www.burgessyachts.com/en/buy-a-yacht/yachts-for-sale/meserret-ii-00006510;;MESERRET II;Motor Yacht;;Cammenga;;;;57.2 metres;50.3 metres;9.6 metres;3.26 metres;683;;1978;397;Full Displacement;LR;17 kn;14 kn;132000 litres;20000 litres;Ruston, Paxman;1350hp, 1350hp;Steel;Aluminium,Steel;Teak;16;9;1;4;2;3;6500 nm;@ 14 kn;;2004-01-01,2009-01-01,1994-01-01;;;Classic Yacht;;;;;;
462;65 m;2011;16 kn;12.2 m;1290;12;17;https://www.burgessyachts.com/en/buy-a-yacht/yachts-for-sale/seanna-00004832;Price from $462,000 p/w •;SEANNA;Motor Yacht;;Benetti;;;;65 metres;;12.2 metres;3.5 metres;1290;;2011;FB 254;Full Displacement;LR;16 kn;14 kn;;;Caterpillar;4506hp;Steel;Aluminium;Teak;12;;;;;3;5000 nm;@ 12 kn;;;;;;;;;;;
463;27.2 m;2010;12 kn;7.4 m;175;8;4;https://camperandnicholsons.com/luxury-motor-yacht-for-sale/belle-isle-kingship-marine-2010;;BELLE ISLE;Motor Yacht;Columbus 90;Kingship Marine;Vripack;Vripack;Addison Nelson Design;27.2 metres;23.96 metres;7.4 metres;2.1 metres;175;;2010;KS003;Semi Displacement;RINA MCA;12 kn;9 kn;23960 litres;4553 litres;Caterpillar;958hp;Steel;Aluminium;Teak;8;4;1;;2;2;4000 nm;@ 8 kn;1;;;;Semi-displacement;;;;;;
464;39.65 m;2006;39.5 kn;7.76 m;265;10;6;https://iyc.com/yachts/veni-vidi-vici/;;VENI VIDI VICI;Motor Yacht;Mangusta 130;Overmarine;Overmarine;Stefano Righini;Overmarine;39.65 metres;34 metres;7.76 metres;1.7 metres;265;160;2006;130/07;Deep V / Planing;BV;39.5 kn;34 kn;24000 litres;3000 litres;MTU;7290hp;GRP;GRP;Teak;10;5;1;3;1;2;530 nm;@ 34 kn;1;;;;Sports/Open Motor Yacht;;;;;;
465;29.9 m;2018;28 kn;6.7 m;171;10;5;https://www.fraseryachts.com/;;RAPH SEVEN;Motor Yacht;Corsaro 100;Riva;;Mauro Micheli;Officina Italiana Design;29.9 metres;22.3 metres;6.7 metres;2.35 metres;171;119;2018;100-08;Deep V / Planing;;28 kn;24 kn;9000 litres;1320 litres;MTU;;GRP;GRP;Teak;10;5;1;;1;2;300 nm;@ 24 kn;2;;1;;;;;;;;
466;42.98 m;2012;18 kn;6.4 m;278;11;9;https://iyc.com/yachts/just-enough/;Price from $139,000 p/w •;JUST ENOUGH;Motor Yacht;;Ares Marine;;;;42.98 metres;38.6 metres;6.4 metres;2.07 metres;278;180;2012;;Semi Displacement;RINA;18 kn;12 kn;43527 litres;7570 litres;Caterpillar;3304hp;Aluminium;Aluminium;Teak;11;5;;4;1;3;;;;2018-01-01;;;;;;;;;
467;60 m;2009;14 kn;10.2 m;998;14;13;https://www.superyachtsmonaco.com/sales/beol;;BEOL;Motor Yacht;;CRN;;;;60 metres;;10.2 metres;3.5 metres;998;;2009;126;Full Displacement;RINA - MCA LY2;14 kn;14 kn;117000 litres;24000 litres;Caterpillar;3880hp;Steel;Aluminium;Teak;14;6;1;3;;3;4000 nm;@ 11 kn;2;;;;;;;;;;
468;47.36 m;2026;13.5 kn;9.5 m;499.5;10;11;https://www.fraseryachts.com/;;PROJECT REVOLUTION;Motor Yacht;;Jongert;;;;47.36 metres;46.26 metres;9.5 metres;2.65 metres;499.5;515;2026;;Full Displacement;LR;13.5 kn;11 kn;52300 litres;12500 litres;Caterpillar;;Steel;Aluminium;Teak;10;5;1;2;2;3;3100 nm;@ 11 kn;;;;;;;;;;;
469;28.96 m;2009;24 kn;7.62 m;172;8;5;https://www.worthavenueyachts.com/yachts-for-sale/21-sea-sands/;;21 SEA SANDS;Motor Yacht;95;Princess;;;;28.96 metres;;7.62 metres;1.83 metres;172;94;2009;;Deep V / Planing;;24 kn;16 kn;9500 litres;1600 litres;MTU;4800hp;GRP;GRP;Teak;8;4;1;1;1;2;600 nm;@ 10 kn;1;2014-01-01;;;;;;;;;
470;31.7 m;2002;13 kn;7.4 m;210;8;4;https://www.fraseryachts.com/;;ESPIRITU SANTO;Motor Yacht;;OCEA;;;;31.7 metres;28.9 metres;7.4 metres;2.4 metres;210;180;2002;01/648;Full Displacement;DNV;13 kn;10 kn;35000 litres;8000 litres;Baudouin;950hp;Aluminium;Aluminium;Teak;8;4;;;;3;3400 nm;@ 8 kn;;2022-01-01;;;;;;;;;
471;36.58 m;1995;14 kn;7.92 m;279;8;6;https://www.rjcyachts.com/;;CHERISH II;Motor Yacht;120;Christensen;Christensen;Christensen;;36.58 metres;32.6 metres;7.92 metres;2.13 metres;279;;1995;012;Semi Displacement;AB;14 kn;12 kn;30283 litres;5867 litres;Caterpillar;2600hp;GRP;GRP;GRP,Teak;8;4;1;1;1;3;;;1;;;;Semi-displacement;;;;;;
472;25.3 m;2002;11 kn;6.71 m;79.04;6;2;https://www.northropandjohnson.com/yachts-for-sale/amarellla-f-83-inace;;AMARELLLA F;Motor Yacht;Explorer 83;Inace;;Michael Kirschstein;Michael Kirschstein;25.3 metres;24 metres;6.71 metres;1.98 metres;79.04;145;2002;549;Full Displacement;;11 kn;10 kn;34443 litres;11733 litres;Caterpillar;700hp;Steel;Aluminium;Steel;6;3;;;;3;4700 nm;@ 10 kn;;;;;;;;;;;
473;41.4 m;2016;14 kn;8.95 m;499;10;9;https://www.burgessyachts.com/en/buy-a-yacht/yachts-for-sale/ruya-00008729;Price from €175,000 p/w •;RUYA;Motor Yacht;;Alia Yachts;;;;41.4 metres;35.79 metres;8.95 metres;2.4 metres;499;375;2016;401;Full Displacement;LR;14 kn;10 kn;53400 litres;14300 litres;Caterpillar;2000hp;GRP;GRP;Teak;10;5;1;2;2;3;3500 nm;@ 10 kn;;2019-11-29,2018-11-10;;;;;;;;;
474;85.65 m;2009;16.5 kn;12.4 m;2050;14;19;https://moraviayachting.mc/buy/b2;Price from €850,000 p/w •;B2;Motor Yacht;;Abeking & Rasmussen;;;;85.65 metres;68.27 metres;12.4 metres;3.2 metres;2050;;2009;6479;Full Displacement;LR;16.5 kn;14 kn;160000 litres;35000 litres;Caterpillar;4056hp;Steel;Aluminium;Teak;14;6;;;;4;6000 nm;@ 12 kn;;2019-07-01;;;;;;;;;
475;47 m;1983;13.5 kn;8.32 m;458;12;9;https://www.edmiston.com/yacht-brokerage/yachts/a2;;A2;Motor Yacht;;Feadship;;;;47 metres;38.04 metres;8.32 metres;2.4 metres;458;;1983;627;Full Displacement;LR;13.5 kn;12.5 kn;50500 litres;20000 litres;Caterpillar;1250hp;Steel;Aluminium;Teak;12;6;1;;4;3;3500 nm;@ 12.5 kn;1;2022-01-01;;;Classic Yacht;;;;;;
476;13.5 m;2019;40 kn;4 m;;2;;https://www.oceanindependence.com/yachts-for-sale/yacht/sea-ranger;;SEA RANGER;Motor Yacht;;Naiad;;;;13.5 metres;;4 metres;1 metres;;;2019;;;;40 kn;30 kn;1200 litres;;Volvo Penta;880hp;;;;2;;;;;;;;;;;;;;;;;;
477;34.25 m;1994;12 kn;7.16 m;113;6;5;https://www.northropandjohnson.com/;;BILLY BUDD;Sail Yacht;;Royal Huisman;;;;34.25 metres;27.4 metres;7.16 metres;3.86 metres;113;123;1994;360;Monohull;LR;12 kn;9 kn;10650 litres;4600 litres;MTU;360hp;Aluminium;Aluminium;Teak;6;3;1;2;;;2500 nm;@ 10.5 kn;;2002-01-01,2010-01-01;;;;;;;;;
478;28.96 m;2002;22.5 kn;6.1 m;148;10;4;https://www.burgessyachts.com/en/buy-a-yacht/yachts-for-sale/fly-boys-10001389;;FLY BOYS;Motor Yacht;95;Hargrave Custom Yachts;J.B. Hargrave Yacht Design;J.B. Hargrave Yacht Design;Yacht Interiors by Shelley;28.96 metres;26.27 metres;6.1 metres;1.62 metres;148;105;2002;625;Semi Displacement;;22.5 kn;19 kn;12112 litres;2271 litres;Caterpillar;2800hp;GRP;GRP;Teak;10;4;1;1;1;2;700 nm;@ 11 kn;1;;;;Semi-displacement;;;;;;
479;25.1 m;2011;11.5 kn;5.75 m;56.08;6;3;https://www.superyachtsmonaco.com/sales/aegir;;AEGIR;Sail Yacht;;Carbon Ocean Yachts;Rogers Yacht Design;Rogers Yacht Design;;25.1 metres;;5.75 metres;4.5 metres;56.08;;2011;;Carbon pre-preg;;11.5 kn;9.5 kn;1300 litres;1000 litres;Yanmar;180hp;Carbon Fibre,Epoxy;Carbon Fibre,Epoxy;Carbon Fibre,Epoxy;6;3;1;1;1;;825 nm;@ 10 kn;;;;;;;;;;;
480;52.6 m;2025;16 kn;9.48 m;499;10;9;https://www.fraseryachts.com/;;VIRTUS XP #2;Motor Yacht;;Mengi-Yay;;VYD Studio;VYD Studio;52.6 metres;;9.48 metres;2.6 metres;499;;2025;;;RINA;16 kn;12 kn;650000 litres;150000 litres;Caterpillar;2900hp;;;;10;5;;;;;;;;;;;;;;;;;
481;43.28 m;1995;17 kn;8.41 m;372;12;7;https://www.fraseryachts.com/;;GRADE I;Motor Yacht;;;;Setzer Yacht Architects;Destry Darr Designs;43.28 metres;39.37 metres;8.41 metres;2.08 metres;372;213.97;1995;016;Semi Displacement;BV;17 kn;12 kn;32172 litres;5677 litres;Deutz-MWM;3896hp;GRP;GRP;GRP,Teak;12;6;1;4;1;3;3000 nm;@ 11 kn;;2018-01-01;;;;;;;;;
482;47 m;2024;;10.5 m;375;10;7;https://www.edmiston.com/yacht-brokerage/yachts/perini-47m;;PERINI NAVI 47;Sail Yacht;47M Classic;Perini Navi;;;;47 metres;43.2 metres;10.5 metres;12.8 metres;375;305;2024;605;Monohull;;;;25000 litres;10000 litres;Caterpillar;715hp;Aluminium;Aluminium;Teak;10;5;1;2;1;;3200 nm;@ 10 kn;;;;;;;;;;;
